"Gene","cond1_mean","cond2_mean","M","D","prob","ranking"
"128up",33.8936038884259,27.1634575640935,0.319345917878907,6.73014632433238,0.716430850325981,6.73771855765663
"14-3-3epsilon",382.207144598276,402.500371196834,-0.0746353668543402,20.2932265985579,0.438098210570121,-20.2933638467949
"14-3-3zeta",773.546758766534,849.993172104585,-0.135962751053477,76.4464133380504,0.623838257733389,-76.4465342453255
"140up",36.5251063998326,21.365516621883,0.773604273636237,15.1595897779496,0.848592037730615,15.1793157226504
"18w",12.245856226733,17.5813225337116,-0.521749949302499,5.33546630697857,0.747503121098627,-5.36091631370055
"26-29-p",121.431774861751,110.45217744692,0.136724118569793,10.9795974148316,0.593841032043279,10.9804486646209
"312",19.3489891066678,12.0292162074478,0.685715551027346,7.31977289921999,0.800180330142877,7.35182161869262
"4EHP",8.30598751214917,35.0106953048056,-2.07557210584117,26.7047077926564,0.935219864058815,-26.7852462721124
"5-HT7",1.92955894960944,3.24692492751605,-0.750802908239823,1.31736597790661,0.538909696213067,-1.51629750602156
"7B2",273.999840103128,223.55215075734,0.29356362540719,50.447689345788,0.768275766403107,50.4485434867182
"A16",23.2931373645104,22.1380154150526,0.0733790739152956,1.15512194945781,0.303960327368567,1.15745030416337
"ACC",49.8255481272942,43.5773319216422,0.193307807843708,6.24821620565201,0.629178804272437,6.25120577657989
"AGO1",8.60227581949675,49.2026231335735,-2.51594493678264,40.6003473140768,0.95297544735747,-40.6782273575015
"AIF",18.5230524065604,20.7526175793799,-0.163971459317687,2.22956517281949,0.491642391455126,-2.2355866119031
"AP-1gamma",32.4197746365996,52.3520182134548,-0.691371093196927,19.9322435768553,0.851192953252878,-19.944230443805
"AP-1sigma",191.946452960785,159.533750769602,0.266842229294857,32.4127021911826,0.753086419753086,32.4138005810739
"AP-2",6.12935121546103,3.17762503577928,0.94778547975535,2.95172617968174,0.712789568594812,3.10015882745605
"AP-2sigma",194.318834808686,152.354761984923,0.350991150841854,41.9640728237624,0.794458315993896,41.9655406583306
"AP-47",73.6393506309276,69.3159417116934,0.0872897142127211,4.32340891923417,0.455229574143432,4.3242900200057
"AP-50",90.0532547592692,103.753337912131,-0.204307426086921,13.700083152862,0.677798585101956,-13.7016064722239
"APC4",5.81471768019731,5.99163563961246,-0.0432407472371044,0.176917959415154,0.143743931197115,-0.182125579162415
"APP-BP1",12.3539658213025,11.2235674660665,0.138442927875563,1.13039835523599,0.380947426827577,1.13884453978539
"AQP",87.3083632875386,40.5491366524174,1.10644865876968,46.7592266351211,0.907060618671106,46.7723155739494
"AR-2",0.0431256012432209,0.449022798517523,-3.3801722220707,0.405897197274302,0.34769038701623,-3.40445543157985
"ASPP",57.4878241636162,84.3181682745783,-0.552587098521775,26.8303441109621,0.837425440421695,-26.8360339397253
"ATP7",8.64530605888222,13.7759034786988,-0.672157995794783,5.13059741981658,0.765986960743515,-5.17443970450323
"ATPCL",108.058240050313,126.860051813842,-0.231428746501227,18.8018117635287,0.715667915106117,-18.8032360208522
"ATPsyn-Cf6",2416.71488629596,816.223724860649,1.56601072956211,1600.49116143531,0.934422249965321,1600.49192757169
"ATPsyn-b",1192.96623624228,1072.12182508577,0.154084363549122,120.844411156504,0.640414759328617,120.84450939018
"ATPsyn-d",1529.73372072836,796.239256081234,0.94200664038642,733.494464647123,0.895824663614926,733.495069543402
"ATPsyn-gamma",1054.77031640213,706.221396710955,0.578736439358052,348.548919691171,0.856047995561104,348.549400162658
"Aac11",100.982981009657,111.575825691509,-0.143912311591234,10.5928446818522,0.592453877098072,-10.5938222189761
"Aats-ala",18.2289531045257,19.2482699295356,-0.0784970702591199,1.01931682500996,0.309335552781246,-1.02233486675729
"Aats-ala-m",8.24162772618572,9.90755952198995,-0.265600430904023,1.66593179580422,0.508704397281176,-1.6869713504289
"Aats-arg",17.1287317663921,15.1955762608257,0.172766949230962,1.93315550556637,0.479643501179082,1.94086028024898
"Aats-asp",29.2944204075494,35.7641441277359,-0.287888010390726,6.4697237201865,0.700721320571508,-6.4761257339609
"Aats-cys",9.37179071830467,10.9130379511889,-0.219656129518019,1.54124723288419,0.472152864474962,-1.55682107132066
"Aats-gln",16.5074784246571,13.5743637935527,0.282235177296884,2.93311463110443,0.604972950478568,2.94666220230665
"Aats-glupro",9.315724914409,13.3526941398544,-0.519390916561175,4.03696922544539,0.714488833402691,-4.0702441513255
"Aats-gly",18.157761198174,22.3484650862792,-0.299589415872643,4.19070388810519,0.662158413094743,-4.20139892129787
"Aats-his",38.1816304895356,52.1823684784888,-0.450683715183752,14.0007379889532,0.797579414620613,-14.0079898645898
"Aats-ile",13.0247406742331,20.0102687391087,-0.619485894475425,6.98552806487569,0.787037037037037,-7.01294268610687
"Aats-leu",6.60076752225087,10.0500442993942,-0.606496168006447,3.44927677714331,0.704223886808157,-3.50219186897957
"Aats-lys",28.3023995569394,30.6694020869582,-0.115875666944621,2.36700253001879,0.454744069912609,-2.3698371562842
"Aats-met",1.67102909030562,4.72376262033751,-1.49919961895295,3.05273353003189,0.749687890137328,-3.40099713361385
"Aats-phe",50.87134730912,35.9196938847294,0.502078248782168,14.9516534243906,0.812179220418921,14.9600809720733
"Aats-pro",10.7732313065494,7.20610874231103,0.580158706801366,3.5671225642384,0.706235261478707,3.61399329182777
"Aats-ser",6.42839660908501,6.98370408976102,-0.119533490179449,0.555307480676002,0.278679428492163,-0.56802698295874
"Aats-thr",51.1389513150149,54.8811642623155,-0.101888511375566,3.7422129473006,0.465494520737966,-3.74359973978183
