"Gene","cond1_mean","cond2_mean","M","D","prob","ranking"
"128up",36.3529092423932,25.7278101189769,0.498742160406451,10.6250991234163,0.7978125,10.6367981613354
"14-3-3epsilon",377.363481547155,405.295601904345,-0.103019703641973,27.9321203571901,0.533680555555556,-27.9323103360229
"14-3-3zeta",739.070280781386,846.173897810556,-0.195242621299054,107.103617029171,0.710416666666667,-107.103794986043
"140up",42.4687907714658,22.3626777450832,0.9253100816328,20.1061130263826,0.874756944444444,20.1273937651362
"18w",11.3442550777612,14.2996095951673,-0.334013882064207,2.95535451740612,0.6315625,-2.97416973237311
"26-29-p",133.536333018245,115.439879871603,0.21009062502829,18.0964531466428,0.700555555555556,18.0976726282515
"312",22.7052851722862,13.1667338097902,0.786130647197379,9.53855136249608,0.828680555555556,9.57089146785391
"4EHP",9.8459188999266,35.3725015390724,-1.84503048850043,25.5265826391458,0.925034722222222,-25.5931740652979
"5-HT7",1.61037361097054,3.75805488830014,-1.22259070193768,2.1476812773296,0.682881944444444,-2.47128769945075
"7B2",271.855265713379,233.307316871719,0.220607219617503,38.5479488416603,0.724131944444444,38.5485800963486
"A16",24.2990717554743,22.0275700019979,0.141590851576621,2.27150175347636,0.482083333333333,2.27591040801179
"ACC",46.7491798844844,42.6133239369045,0.133636466764131,4.13585594757992,0.530173611111111,4.13801439393115
"AGO1",7.75296157469554,50.2759525466973,-2.697049090868,42.5229909720017,0.9553125,-42.608436195236
"AIF",19.5640212915782,20.9211775194084,-0.0967611140777544,1.35715622783028,0.3696875,-1.36060124207502
"AP-1gamma",30.0763971283811,55.0366302201405,-0.871760383521834,24.9602330917594,0.870138888888889,-24.97545199113
"AP-1sigma",179.878176777973,167.610722997602,0.101905716943077,12.2674537803709,0.517673611111111,12.2678770383747
"AP-2",6.57815043404756,3.33411674677694,0.980377378841267,3.24403368727061,0.736527777777778,3.38893705593513
"AP-2sigma",195.843640992226,149.608393930335,0.388511163639308,46.2352470618913,0.811944444444444,46.2368793475338
"AP-47",75.5834898154775,69.0719910940522,0.129970319871056,6.5114987214253,0.560590277777778,6.51279570408674
"AP-50",86.9753821010731,101.194326534898,-0.218449390494905,14.2189444338251,0.703125,-14.2206223825968
"APC4",5.25962771678416,5.24063029021258,0.00522035229816874,0.0189974265715716,0.0757638888888889,0.0197016317714866
"APP-BP1",13.17536375076,10.8414619240647,0.281283481948013,2.33390182669532,0.575625,2.35079095920257
"AQP",83.0186540172701,35.3709223319891,1.23087170245617,47.647731685281,0.913159722222222,47.6636274312021
"AR-2",0.163585611736121,0.478855067846423,-1.54954320947471,0.315269456110301,0.310729166666667,-1.58129029213022
"ASPP",45.7982756199548,79.5132345669855,-0.795901730002397,33.7149589470307,0.872118055555556,-33.7243519784115
"ATP7",6.85560617149979,13.1721978662985,-0.942139949065832,6.31659169479873,0.811493055555556,-6.38646681056326
"ATPCL",99.3886545203874,129.315267067972,-0.379739532161634,29.9266125475844,0.802743055555556,-29.9290217128044
"ATPsyn-Cf6",2426.18099395058,791.130634920666,1.616699336486,1635.05035902991,0.935416666666667,1635.05115830686
"ATPsyn-b",1193.05327141969,1027.48108384198,0.215546628917972,165.572187577706,0.731493055555556,165.572327880043
"ATPsyn-d",1556.18158733439,768.352151950539,1.01817082988188,787.829435383848,0.9040625,787.830093312684
"ATPsyn-gamma",1038.85430950269,686.454472608415,0.597757397211809,352.399836894278,0.861701388888889,352.400343866205
"Aac11",96.1538041250774,114.595793685556,-0.253138248957803,18.4419895604789,0.732326388888889,-18.4437267904808
"Aats-ala",17.5379960432489,18.8490999053552,-0.104011723123055,1.31110386210629,0.365520833333333,-1.3152230897369
"Aats-ala-m",7.99461941037465,10.0482893743853,-0.329848657295701,2.0536699640106,0.572256944444444,-2.07999049464152
"Aats-arg",16.6015549309887,15.3818244173109,0.110091743720475,1.21973051367785,0.375694444444444,1.22468882498055
"Aats-asp",29.3141218077196,33.5581505210206,-0.195067370073081,4.24402871330099,0.608784722222222,-4.24850926775386
"Aats-cys",10.261910517358,10.6600584064012,-0.0549159920696544,0.398147889043157,0.194166666666667,-0.401917289668554
"Aats-gln",16.5441102979981,13.8670647750399,0.254655262659205,2.67704552295825,0.585208333333333,2.68913034916325
"Aats-glupro",9.25439357107453,14.03400275582,-0.6007161905321,4.77960918474546,0.749166666666667,-4.81721121609491
"Aats-gly",18.927490600631,22.037045244498,-0.219447646690424,3.10955464386701,0.589548611111111,-3.11728846160134
"Aats-his",39.8499842678982,56.0612197758129,-0.492423980098152,16.2112355079147,0.814444444444444,-16.2187125897603
"Aats-ile",13.1492132835206,21.8623849410804,-0.733474305688783,8.71317165755976,0.819375,-8.74398907199731
"Aats-leu",6.84628671774209,10.2157011172904,-0.577394603773792,3.36941439954826,0.701006944444444,-3.41852861979394
"Aats-lys",26.8014690821475,26.8474679410665,-0.00247394806284025,0.0459988589190523,0.0128819444444444,-0.0460653388229427
"Aats-met",1.96612075951852,4.48941727273756,-1.19117626000386,2.52329651321904,0.711423611111111,-2.79032725249569
"Aats-phe",52.4335667048102,37.2495470783329,0.493267802304444,15.1840196264773,0.812083333333333,15.192029658411
"Aats-pro",10.4357243295873,7.52359521817533,0.472036602804736,2.91212911141201,0.660902777777778,2.95013805031573
"Aats-ser",6.22302724892713,7.27646510170311,-0.225621197627196,1.05343785277598,0.421875,-1.07732828538009
"Aats-thr",46.9846060854191,52.8344259424199,-0.169290116243235,5.84981985700076,0.607465277777778,-5.8522689192157
