"Gene","cond1_mean","cond2_mean","M","D","prob","ranking"
"128up",34.6712199978264,23.0014798213127,0.592011921178531,11.6697401765137,0.857642054086904,11.6847470619674
"14-3-3epsilon",364.63334875421,388.508291756616,-0.0914988758700344,23.8749430024056,0.509487153516324,-23.8751183329507
"14-3-3zeta",695.74578347366,598.630357018474,0.216894819318359,97.1154264551859,0.739457780478747,97.1156686582308
"140up",34.5308959602654,16.6527494293655,1.05212737659752,17.8781465308999,0.924237820318039,17.9090785747596
"18w",11.0792883323663,12.5459528789179,-0.179356834974957,1.46666454655162,0.477446909078632,-1.47759052729899
"26-29-p",121.577428074623,135.415982488421,-0.155522618684511,13.8385544137976,0.645396536007293,-13.8394282955822
"312",18.5978625554332,11.0223707205615,0.754702266585238,7.57549183487163,0.858351058442216,7.61299231914729
"4EHP",7.38007792026793,7.10344772001015,0.0551166294517161,0.276630200257779,0.166413450825484,0.282067563779987
"5-HT7",2.07562699563467,1.4950185951662,0.473383775927407,0.580608400468464,0.393767514095682,0.749131706715073
"7B2",274.049882668555,298.837755719827,-0.124923915414,24.7878730512724,0.587173773591276,-24.7881878399902
"A16",22.8808183461042,25.2458725415947,-0.141908888432438,2.36505419549048,0.501434889766704,-2.36930780613733
"ACC",47.7739124827785,27.9452171183251,0.773621648353802,19.8286953644534,0.900536817583308,19.8437811495465
"AGO1",3.64350193179028,0.65291455171455,2.48035965487692,2.99058738007573,0.824504541004085,3.88533098917059
"AIF",18.2845359866686,16.9851492100282,0.106350123380308,1.2993867766404,0.390458827104224,1.30373169941171
"AP-1gamma",25.0226501223494,20.015042717384,0.322149897077168,5.00760740496545,0.726645058914886,5.01795899529396
"AP-1sigma",161.036628892759,175.51618859561,-0.124215225882225,14.4795597028511,0.577619095850636,-14.4800924931705
"AP-2",6.74529035541188,7.2963686005805,-0.113298067675226,0.551078245168618,0.278925689591141,-0.562604376482323
"AP-2sigma",211.029083354022,254.232333281144,-0.268705683784863,43.2032499271224,0.776866200749519,-43.2040855360914
"AP-47",64.2224454044475,59.1560048674252,0.11855297721012,5.0664405370223,0.535737195718964,5.06782739678338
"AP-50",90.5843163721098,91.907223177575,-0.0209169644252424,1.32290680546524,0.153313751308282,-1.3230721580273
"APC4",4.80236928086435,4.38106886640248,0.132463451985741,0.421300414461863,0.254937708903069,0.441634017414551
"APP-BP1",10.863232169077,10.5546244579287,0.0415781689239532,0.308607711148319,0.142324183800939,0.311395991482346
"AQP",79.8471773321883,86.1233249844833,-0.109162611062406,6.27614765229502,0.52788750464229,-6.27709692684941
"AR-2",0.222556517923649,1.45301398046045,-2.7068049260586,1.2304574625368,0.653229346027888,-2.97335138771851
"ASPP",56.7563972360555,28.3829919662478,0.99975633563526,28.3734052698076,0.927614031533813,28.3910133552043
"ATP7",8.41074513281783,9.38901096702632,-0.158739574455089,0.978265834208491,0.398342280293055,-0.991061196333414
"ATPCL",84.7187642828161,75.9003355612687,0.158575282254202,8.81842872154743,0.629967250751207,8.81985437732136
"ATPsyn-Cf6",2416.6771426149,1918.78042822199,0.332835119221686,497.896714392912,0.816266585637597,497.896825640085
"ATPsyn-b",1331.19921517951,1322.13529299055,0.00985667387051712,9.06392218895121,0.119669806543097,9.06392754833035
"ATPsyn-d",1481.81533627539,1237.10800602758,0.260394209620762,244.707330247801,0.775076808805159,244.707468791107
"ATPsyn-gamma",1100.82438315817,964.869370183004,0.190178791083553,135.955012975168,0.707907086667342,135.95514598959
"Aac11",82.6152227536103,71.5437890232054,0.207581111616932,11.0714337304048,0.699702893413012,11.0733795547993
"Aats-ala",15.2982613514056,12.1063341046215,0.337605628336183,3.19192724678408,0.685370876802053,3.20973162570438
"Aats-ala-m",7.49916227774567,13.7636237643192,-0.87605901289923,6.26446148657349,0.855025490394679,-6.32542149669447
"Aats-arg",16.5834854836611,20.8518674398063,-0.330429332077553,4.26838195614522,0.715571086127148,-4.28115265635825
"Aats-asp",29.7497888644566,30.395687702633,-0.030987230550983,0.645898838176436,0.163712481852865,-0.646641722760672
"Aats-cys",8.54096503455731,5.78524344982695,0.562021416725229,2.75572158473036,0.72284682129714,2.81244902627703
"Aats-gln",15.1917895586867,14.7354801109117,0.0439977590172617,0.456309447775013,0.167088693068638,0.458425691827234
"Aats-glupro",7.79786550487477,9.19290891261684,-0.237442174017955,1.39504340774207,0.509183294506904,-1.41510596616896
"Aats-gly",15.8451072936473,14.9062319207231,0.088121817504416,0.938875372924159,0.32114521084439,0.943001813679995
"Aats-his",37.2145591295223,50.6072806998044,-0.4434778107019,13.3927215702821,0.828876734528512,-13.4000620755161
"Aats-ile",12.3368114930702,9.01176143896184,0.453088543450401,3.32505005410839,0.725716600830548,3.35577816467838
"Aats-leu",5.6582424798161,4.68386517714732,0.272654454553221,0.974377302668781,0.454016003241163,1.01180609779928
"Aats-lys",28.4096288389301,34.6705801182919,-0.287331992953491,6.26095127936181,0.729531719504372,-6.26754103271107
"Aats-met",1.88595147450055,1.42920703977481,0.400077630706309,0.456744434725739,0.337047165670684,0.60718826507477
"Aats-phe",40.9990862413507,41.57363543138,-0.0200771544861654,0.57454919002928,0.129815321246497,-0.574899872930551
"Aats-pro",9.17436511635725,4.97937580094309,0.881643422282754,4.19498931541415,0.81592896451602,4.28663393357694
"Aats-ser",5.68255581070974,5.93112917478779,-0.0617668443501833,0.248573364078056,0.158074209122523,-0.256132505531925
"Aats-thr",43.386811264255,42.6082549249534,0.0261235931221849,0.778556339301645,0.171697221378169,0.778994490086028
"Aats-trp",15.931306651921,14.2536060388572,0.160537643694921,1.67770061306383,0.480704952901854,1.68536396132048
"Aats-tyr",33.5565117162062,32.5575395286966,0.0436010768789067,0.998972187509573,0.213646645734157,0.99992323971526
"Abd-B",0.552214660700571,0.173618471363304,1.66930874536821,0.378596189337266,0.359583375535974,1.71170288366395
"Abi",145.594240182378,49.1811148576951,1.5657769385443,96.4131253246829,0.964127755832405,96.4258388207968
"Abl",8.47388102137496,9.31823841187311,-0.137034370508339,0.844357390498148,0.360613119956785,-0.855405062873408
"Ac3",13.7561401878999,0.843256226910118,4.02796084656848,12.9128839609897,0.964617306458692,13.5265309954724
"Ac78C",0.7600736984192,1.14340987700201,-0.589131440386318,0.383336178582811,0.320605017049867,-0.702867327354267
"AcCoAS",254.359738602741,210.892697521291,0.270361190836032,43.4670410814501,0.776899962861677,43.4678818847892
"Acam",4.80541717709543,28.5840105489465,-2.5724747639051,23.7785933718511,0.9695634558898,-23.9173395082891
"Ace",10.818867558609,5.98612708198783,0.853854684258953,4.83274047662113,0.829585738883825,4.90759088924527
"Acer",7.24767156841838,12.3151513606555,-0.764844873953591,5.06747979223711,0.827019818359837,-5.12487454733719
"Acf1",6.15068885419744,0.250043672539278,4.6204959933482,5.90064518165816,0.920068199466559,7.49443772302982
"Ack",19.3108938500692,15.9843520779795,0.272754678368655,3.32654177208976,0.658816975589993,3.33770509123111
"Acon",341.50366464544,333.683634981051,0.033420126613781,7.82002966438961,0.236486714608866,7.82010107714704
"Acp1",442.232483818867,949.60489652577,-1.10252237307669,507.372412706903,0.948850400081029,-507.373610598351
"Acp24A4",0.643603412515097,1.34699567500762,-1.06550133788523,0.703392262492524,0.485397886491779,-1.27673559360173
"Acp26Aa",0.400273585844718,1.45145377426912,-1.85844030574429,1.0511801884244,0.603750970660725,-2.13513000975371
"Acp26Ab",1.70168406390229,7.41855863775801,-2.12417570090621,5.71687457385572,0.898511090853844,-6.09875211018766
"Acp29AB",0.249160764645515,1.48263994774355,-2.57301947838551,1.23347918309804,0.651878861541578,-2.85340150194245
"Acp32CD",4.05096677731089,13.5791784123986,-1.74505803575667,9.5282116350877,0.926921908234579,-9.68669419932205
"Acp36DE",0.506123192705409,4.28228583148572,-3.08082060373101,3.77616263878031,0.863584185826665,-4.87348539208786
"Acp53C14a",5.04793525738945,41.059799174097,-3.02396125898117,36.0118639167076,0.979388230527702,-36.1386037977574
"Acp53C14b",3.6860762728425,57.4511515310939,-3.96217798119164,53.7650752582514,0.989786961072285,-53.9108724830166
"Acp53C14c",1.41190507653978,16.5915573974029,-3.55473431041509,15.1796523208631,0.966997535365812,-15.5903168858085
"Acp53Ea",5.90040411387567,57.1551392839166,-3.27599755674945,51.254735170041,0.985043384314123,-51.3593227889821
"Acp62F",4.43096124783304,18.1396496157647,-2.03345497462353,13.7086883679317,0.947314223977852,-13.8586823292435
"Acp63F",9.82599115472999,2.08887210382959,2.23387877771964,7.7371190509004,0.922566595766231,8.05315004214824
