"Gene","cond1_mean","cond2_mean","M","D","prob","ranking"
"128up",33.9734948438225,19.0460231836707,0.834919841550537,14.9274716601517,0.863421647155473,14.9508026977299
"14-3-3epsilon",326.498034794151,384.820586009022,-0.237111670108916,58.3225512148712,0.741921681385637,-58.3230332043471
"14-3-3zeta",633.26543607688,559.658384854511,0.17826386295582,73.6070512223687,0.689994523173821,73.6072670845566
"140up",28.429447314869,14.5183498536581,0.969508565592564,13.9110974612109,0.87588142671322,13.9448406026769
"18w",10.6087539043921,12.010182304366,-0.179002841677456,1.40142839997392,0.480642842472787,-1.41281406334382
"26-29-p",124.235116098593,140.694768682975,-0.179495666174803,16.4596525843819,0.673872116108715,-16.4606312726069
"312",13.5765171807452,9.35287798479583,0.537631156963672,4.2236391959494,0.752738413089615,4.25771949739508
"4EHP",6.56346622199362,5.41520194359836,0.277442775753071,1.14826427839526,0.496337372492641,1.1813066269416
"5-HT7",1.74036151527423,1.48774434136078,0.2262603894175,0.252617173913447,0.233723557198603,0.339130064098386
"7B2",244.465257019244,303.714991439279,-0.313088675595567,59.2497344200343,0.780824262339974,-59.2505616290967
"A16",18.9208099532737,29.781174734721,-0.654426814716474,10.8603647814473,0.833658519887725,-10.8800642296781
"ACC",43.240963535821,28.4731330158091,0.602797423441333,14.767830520012,0.837235571986034,14.7801279764928
"AGO1",2.95129739801248,0.628078283352219,2.23233301420856,2.32321911466026,0.786232628191963,3.22190281371867
"AIF",14.228324442274,9.62736776148412,0.563552470170378,4.60095668078989,0.763657835284453,4.63534181750821
"AP-1gamma",23.4921909392577,20.9073956344848,0.168167907554244,2.58479530477284,0.553005408365852,2.59026006661627
"AP-1sigma",153.981898897845,181.833144643812,-0.239854431613444,27.8512457459678,0.735726021770384,-27.8522785378621
"AP-2",6.68297841564799,7.47979016282923,-0.162506582830531,0.796811747181232,0.381084411583487,-0.813214209116678
"AP-2sigma",208.636248713678,274.303681641222,-0.394784150626157,65.6674329275434,0.810758540425823,-65.6686196125592
"AP-47",61.4898994996564,58.2870452205788,0.0771741807392295,3.20285427907758,0.425035941671801,3.2037839170547
"AP-50",84.6129544479804,88.718446353374,-0.0683555407399677,4.10549190539355,0.406688573971384,-4.10606091835007
"APC4",4.05558828227775,4.14736950020608,-0.0322853871509019,0.0917812179283359,0.0972136646813172,-0.097294080949934
"APP-BP1",9.1511705360444,6.63653199786385,0.46352675158119,2.51463853818055,0.673752310536044,2.55700293842894
"AQP",75.0264256738004,76.30063301491,-0.0242961975858384,1.27420734110959,0.175652084616964,-1.27443895630771
"AR-2",0.38271657980031,0.73976595534391,-0.950792506079059,0.3570493755436,0.357790785239953,-1.01562327966238
"ASPP",54.5612235474082,34.1490211768938,0.676031770747922,20.4122023705144,0.857619634421853,20.423394051183
"ATP7",7.33341583182949,8.95965341797434,-0.288957578425696,1.62623758614484,0.559115492572055,-1.65170977133389
"ATPCL",80.7184776125436,80.8910495482564,-0.00308111501659273,0.172571935712824,0.0384918189908948,-0.172599438774918
"ATPsyn-Cf6",2327.30309690825,1841.3056768228,0.33792996305304,485.997420085447,0.797768193331964,485.997537572333
"ATPsyn-b",1213.17609108786,1159.29688832706,0.0655388927560256,53.8792027608001,0.457623057438215,53.8792426216802
"ATPsyn-d",1330.59428066469,1150.79116035666,0.209444693294753,179.803120308029,0.721178202231807,179.803242294412
"ATPsyn-gamma",1020.70639932995,881.457832241042,0.211604482754276,139.248567088909,0.720904360922845,139.248727867695
"Aac11",69.3635177856914,68.7995030268035,0.0117789233461039,0.564014758887964,0.115167385500103,0.564137741405981
"Aats-ala",13.9913828888887,11.8840995751843,0.235505965054216,2.10728331370448,0.577805161908674,2.12040232592625
"Aats-ala-m",6.4887019951066,13.4462973228671,-1.05120714134638,6.95759532776053,0.856284658040665,-7.03655947170865
"Aats-arg",13.0784535255323,18.2538541941165,-0.481009154700048,5.17540066858422,0.758694461559526,-5.19770544445212
"Aats-asp",28.4215326840535,28.3737620033546,0.00242691021415442,0.0477706806988749,0.0314746354487574,0.0478322885467696
"Aats-cys",7.21989889805244,5.49754744732777,0.393190484345975,1.72235145072467,0.598719791880605,1.76666161921111
"Aats-gln",14.1759842917347,12.6208995795481,0.167634165446389,1.55508471218656,0.489200383377833,1.56409388321202
"Aats-glupro",6.70621666882331,8.10994660880617,-0.274193321187507,1.40372993998286,0.526836448278223,-1.43025862059563
"Aats-gly",13.8967766520529,14.3842159841458,-0.0497362990969958,0.487439332092876,0.214862737043883,-0.48997020513396
"Aats-his",40.6871574558921,64.0539780464921,-0.654714679025535,23.3668205906,0.855001026904909,-23.3759910126655
"Aats-ile",10.1406871019403,7.79243776826556,0.380008774855141,2.34824933367477,0.646402409803519,2.37879835254502
"Aats-leu",4.75735244592324,4.26565669437992,0.157391050183652,0.491695751543322,0.306565345382351,0.516271880663343
"Aats-lys",24.3074159807599,27.2006439240666,-0.162244270299383,2.89322794330667,0.555384404737455,-2.89777347892749
"Aats-met",1.45037438050196,1.29795458102393,0.160185446189846,0.152419799478036,0.173974806599576,0.221113483179938
"Aats-phe",38.2766032530425,44.2666008004808,-0.20975578651798,5.98999754743826,0.661942904087082,-5.99366900223012
"Aats-pro",8.55003889308656,5.66131132598494,0.594794720346916,2.88872756710162,0.717378654069966,2.94932665472739
"Aats-ser",4.63775281395989,5.26831789855173,-0.18391647438764,0.630565084591843,0.352673375778736,-0.656839094038637
"Aats-thr",36.9551791781428,39.2734813822504,-0.0877789220762673,2.31830220410762,0.426969945916341,-2.31996341538635
