"Gene","Dsec_Mal_AS_R1","Dsec_Mal_AS_R2","Dsec_Mal_AS_R3","Dsec_Fem_AS_R1","Dsec_Fem_AS_R2","Dsec_Fem_AS_R3","Dsec_Mal_JP_R1","Dsec_Mal_JP_R2","Dsec_Mal_JP_R3","Dsec_Fem_JP_R1","Dsec_Fem_JP_R2","Dsec_Fem_JP_R3","Dsim_Mal_JP_R1","Dsim_Mal_JP_R2","Dsim_Mal_JP_R3","Dsim_Fem_JP_R1","Dsim_Fem_JP_R2","Dsim_Fem_JP_R3","Dmel_Mal_AS_R1","Dmel_Fem_AS_R1"
"128up",18.7108002799799,18.233503237506,18.820451001155,20.2080989031775,19.3793223673187,20.6750882976619,22.4424822924713,23.3693410645403,21.7066459468264,22.8920624107142,22.5658589422798,22.5222907360494,15.960056983053,14.8014089419318,14.5025817872236,13.0568857542664,13.2549743257365,11.515814531173,16.6431360694842,15.8597531012485
"14-3-3epsilon",211.728466526956,203.185927985502,213.954998666081,215.264404179589,205.932541304556,204.450910788097,238.101366958941,235.249392191086,236.774530096725,222.635812535939,212.274251484726,218.395863581352,250.961391586257,257.574648923947,255.814988507486,254.576457779126,251.65262188377,258.102254778427,246.613246124523,249.842025011043
"14-3-3zeta",423.920760527387,426.028870652058,422.641744863578,418.468667844148,400.803524001484,406.014987218008,448.198983477358,452.588310477636,454.134509528276,412.790113672638,428.518136006204,425.854359132552,396.657687123133,393.009132291972,388.176604280067,364.280061105926,370.803170101788,376.472636317201,520.793495750298,521.618786750052
"140up",18.8171045225493,21.4451170916518,19.8081546645397,24.084936035657,24.899271249571,21.4271950288055,22.9526942431246,20.6546121358749,23.6486289269469,18.6081393289905,20.4947377974895,17.7872734042011,10.7429942037672,10.0433978920047,11.9797274147642,8.67416455165601,10.2721506254071,9.88392766376118,13.0907193789228,13.7853375813824
"18w",6.74113060483079,6.88167304156976,6.52197915076623,6.13874272705414,6.34101370713976,6.3236442907859,7.14403068939888,7.06408321558794,7.36854416324246,6.88461215380549,7.19637217979067,7.14713468483495,8.29175767174054,7.45962999404828,8.93622118791884,8.23927158476066,7.53450213821629,8.08309440366104,10.7721317332165,8.81490793716318
"26-29-p",65.7284898310301,68.4370614493335,65.5869954492848,72.0134178610939,78.4751213859617,70.8535182326685,76.9824131404686,78.63797242851,81.1373644701302,84.6264284916049,82.0164543004462,81.9480537411233,86.9939687502064,86.0692911193693,93.3635177971545,94.4168020527061,93.05589058501,91.9759300938416,67.674397270024,71.1622164628368
"312",9.60660659244845,10.4198615300646,11.8041454013568,13.3597518604288,12.6210336499213,11.6697740256219,12.4578681512705,10.7354383587573,13.0314417081707,8.41405894491283,9.5329109077964,9.22022411101344,7.56463732476736,6.42525024140954,7.70248806609984,6.53830349093045,5.3172601587946,6.72541123584088,7.37033868672307,8.11655350406621
"4EHP",4.77067867461021,4.47110879858561,4.42460765767206,4.83356186738629,5.87279609204669,5.6066701623386,4.94615005054955,4.509989566736,4.91804312586362,4.48470612229622,4.01611790483965,4.63176865384895,5.28360694738893,3.34177828931034,5.36078575997382,3.89973840492525,3.15773070359268,3.70076348437679,21.4511633679274,21.8051648542534
"5-HT7",0.982142139205566,1.2889094021204,0.900667586269227,0.900449880747415,0.686268341499112,1.08263014268059,1.30395687347124,1.39053857490117,1.34735165593513,1.21219170919107,0.764434920818822,1.50492163874906,0.924877515636042,1.17092195435339,0.844500234758953,0.974376837362518,1.12386313963953,0.856102426095632,1.98940113748561,2.31663022984679
"7B2",149.268456078605,150.535284638906,150.964534761828,154.010457815947,151.249478680909,145.449502678978,177.144410072898,178.695928880547,177.857260343732,162.490289422693,162.070404059643,164.607293597149,196.076280260777,192.210778210057,199.693401716599,198.51426780775,204.355499452007,200.33917711432,136.97110741154,143.820885850324
"A16",13.1694409184969,12.481370088901,12.6747809509719,13.474743586543,12.9057944900174,13.8996656395468,14.2783540858035,14.5256926011381,15.7531530799722,12.0755108572799,12.8151451599006,12.9697638173963,14.2928230985781,20.4628258434373,14.8824820242284,17.2437789124314,23.3443645846519,18.5400547320411,13.5640318244352,13.5787624378676
"ACC",27.6735767316121,27.1664762908348,27.1341230985095,26.1072320223304,25.4928311824986,25.8990847616384,30.7336897035218,30.8544257480753,31.4489747426548,28.1667776207533,29.7017988946633,28.6574854993139,18.4045613193715,18.2552832349624,18.3235362443864,18.6003257816462,18.8554241770837,19.0959350698523,26.699968625337,26.2687260725827
"AGO1",4.30228814166647,4.32881944930993,5.52364655696239,4.364651608285,4.50797806558614,3.98090369740467,2.22293851013606,2.69303696073626,2.17789701104421,2.09989162651626,1.90199635817552,1.90350402029031,0.431799057351416,0.53377424494489,0.318688348601861,0.25921851882438,0.438875346926143,0.548764135369862,30.1466022819597,30.9923071817358
"AIF",10.8695461233325,9.40294934837841,10.2115794085538,10.1698259506455,11.0587849630824,11.1932155680276,11.5530473704379,11.230599242062,12.8248163239432,10.2328600203121,9.17926132312074,9.05807824913463,11.5412649580122,10.9713348242094,10.9098429494354,6.77002384389633,6.30324506438537,6.04993972177541,12.7151942037065,12.8967334767628
"AP-1gamma",17.8994782777285,17.6340909696462,17.8042702973995,16.0229302475396,16.9821010093669,16.8438674233062,16.3580521174286,16.7214829124227,15.6507378409836,15.298937363999,15.231769644101,16.4755893964046,12.7547021844227,14.1005330501266,12.5178548522256,13.644125611456,13.8255550985771,14.0554057543442,32.0762465743827,33.9269981696696
"AP-1sigma",104.104070681029,105.191415042443,106.484521796447,100.517817022874,95.6166409175902,102.058496403758,100.488591540544,110.331814762457,102.753842773558,104.046011263432,95.5892572367944,108.463979337512,115.696974662017,119.313573912818,110.308807317216,121.745603116006,117.460297613682,121.96190161213,97.7468319512985,103.322617493316
"AP-2",3.53548104099107,3.32712121611315,3.222189607878,4.02086798467825,3.82682379631733,3.06289300908446,4.73963318278097,4.34643421431674,4.05243374924103,4.34953845445982,4.44258049061276,4.58032053964337,4.84699942573458,4.61781889503972,4.89198387448613,4.86002865114886,5.33574626483055,4.65858001371584,1.94694087538333,2.05529612392533
"AP-2sigma",101.410110571576,109.741881081687,108.481911399994,115.313713657844,108.897643475578,100.543468852052,136.285339951241,136.013853330823,138.672345244939,129.436307670017,139.97395113826,148.065024548932,180.003703138931,154.220707465678,166.137699613243,183.369960952692,178.068547534184,183.395416158381,93.348242894556,92.2251905092879
"AP-47",39.9978487781716,40.7249346095087,40.4210355181523,42.1131591854405,41.7828418383852,41.4030601301632,41.7484139819888,40.5402022933404,42.7862361159692,40.1139105748538,41.4005856415977,41.5261820158916,38.0655111009292,39.9741173829948,38.3398797084561,39.7902229967642,37.8511100677968,38.1336488613854,42.4700959725062,42.579011579197
"AP-50",50.5914175547865,50.2170295390845,47.3395824359409,47.4556086427206,50.171399573164,46.5451596486653,58.6077288103255,57.6653852435205,60.1391785785752,55.2988293418809,57.1757231371535,56.8356395587416,60.1180755683132,59.4287922070582,61.2831681211241,59.6215377081097,58.797047826936,57.7942417508425,63.5699971721329,62.3806311795969
