"Gene","Dsec_Mal_AS_R1","Dsec_Mal_AS_R2","Dsec_Mal_AS_R3","Dsec_Fem_AS_R1","Dsec_Fem_AS_R2","Dsec_Fem_AS_R3","Dsec_Mal_JP_R1","Dsec_Mal_JP_R2","Dsec_Mal_JP_R3","Dsec_Fem_JP_R1","Dsec_Fem_JP_R2","Dsec_Fem_JP_R3","Dsim_Mal_JP_R1","Dsim_Mal_JP_R2","Dsim_Mal_JP_R3","Dsim_Fem_JP_R1","Dsim_Fem_JP_R2","Dsim_Fem_JP_R3","Dmel_Mal_AS_R1","Dmel_Fem_AS_R1"
"CG6785",0.0990976,0.062959,0.0748862,0.0264121,0.0472101,0.053968,0.116517,0.102218,0.0677533,0.183694,0.0618113,0.0802932,0.239408,0.182522,0.349372,0.290455,0.310582,0.173163,0.533737,0.547786
"CG6791",3.53313,3.97496,3.85396,3.49103,3.12156,3.04915,3.7824,3.87028,3.68515,3.77996,3.31406,3.62373,5.01721,5.42599,5.38103,5.48301,5.59542,5.40786,5.99335,5.55185
"CG6793",0.041141,0.11044,0.1903,0.0544353,0.196498,0.207021,0.015488,0.0500702,0.0159947,0,0.0442643,0,0,0.0299446,0,0.0197832,0.0212229,0.020238,0.0546984,0.0879119
"CG6796",1.30776,0.969902,1.25831,1.64812,1.59675,1.44655,1.56773,2.06129,1.79577,1.46697,1.22163,1.44222,1.49099,1.51216,1.56969,1.88338,1.51537,1.53735,3.46765,3.11117
"CG6800",8.08034,8.6948,8.48058,7.92708,8.06801,8.97423,10.3129,10.6677,11.1938,13.0974,12.9332,10.6109,14.6649,14.3395,13.5047,17.2818,17.9224,18.0854,10.8645,11.103
"CG6808",0.451835,0.770689,0.582104,0.890595,0.753635,0.686784,0.840923,0.674701,1.0672,0.798376,0.990455,0.837825,1.64367,1.43111,1.58136,0.827415,0.808362,0.92536,1.48463,1.30672
"CG6812",30.7188,31.1227,32.8633,34.0824,33.1497,33.8847,45.3714,46.6385,45.2138,44.8149,48.7912,46.0413,24.7947,26.9398,24.1526,26.5223,30.0836,27.5148,31.4015,31.5421
"CG6833",6.83941,6.48757,5.90725,6.31911,6.57143,5.83279,7.92461,7.59865,7.11432,8.37498,7.30799,7.48348,6.56629,7.21999,5.63365,7.02776,6.07874,6.11433,7.79117,6.54131
"CG6836",13.15,16.0503,14.3005,14.0495,16.9681,12.852,17.2636,18.5311,19.8045,22.3706,24.2873,19.9149,157.155,165.053,155.095,206.297,213.228,211.85,253.093,277.499
"CG6839",0.135392,0.108964,0,0.150393,0.162838,0.21841,0.147022,0.184577,0.226983,0.0338492,0.210774,0.135601,0.764148,0.383806,0.367023,0.768585,0.718166,0.653969,0.0169677,0.0529975
