gene_name,Dmel,Dsec,Dsim,Dmel_m,Dmel_f,Dsec_m1,Dsec_m2,Dsec_m3,Dsec_f1,Dsec_f2,Dsec_f3,Dsec_m4,Dsec_m5,Dsec_m6,Dsec_f4,Dsec_f5,Dsec_f6,Dsim_m1,Dsim_m2,Dsim_m3,Dsim_f1,Dsim_f2,Dsim_f3
Srp72,FBgn0038810,FBgn0177989,FBgn0190862,14.0679,13.3789,9.55088,9.22345,9.5466,8.08502,9.0211,8.51522,11.5513,12.3366,12.1072,11.1348,11.2516,12.2601,15.9255,15.7396,15.8869,16.4086,15.6186,15.6983
Srp9,FBgn0035827,FBgn0179867,FBgn0185737,33.3367,31.6624,33.4406,24.7015,23.6898,28.0751,22.0722,25.0989,32.0661,24.7436,29.896,30.9618,38.4664,30.1885,46.3172,43.506,37.9993,44.0208,45.3284,48.3747
SrpRbeta,FBgn0011509,FBgn0179783,FBgn0184691,19.4752,17.4953,10.0524,9.06863,9.89026,9.39372,12.7245,11.1085,13.5248,13.6454,12.3589,12.4487,12.7843,11.6555,18.049,17.5786,17.5839,21.6861,18.2911,19.33
Sry-alpha,FBgn0003510,FBgn0020088,FBgn0020081,0.745999,0.669329,1.35018,1.32597,1.09234,1.28505,1.42056,1.49281,1.50197,1.59439,1.54788,1.66277,1.69575,1.66462,2.1629,2.47941,2.72484,2.41341,2.32188,2.41343
Sry-beta,FBgn0003511,FBgn0167789,FBgn0062291,6.25005,5.94464,5.09674,4.13558,4.51897,3.66055,4.09588,4.52128,5.41788,5.96871,4.95359,5.08999,5.51379,5.20247,5.79637,5.33147,5.60499,6.51585,5.57487,6.10984
Sry-delta,FBgn0003512,FBgn0167790,FBgn0045545,9.71503,9.10875,4.52016,4.27052,5.84483,3.89595,4.26362,3.67475,4.50398,4.20652,4.50011,3.66063,4.57861,4.04251,7.58799,6.18078,6.99362,5.59864,6.31768,6.79395
SsRbeta,FBgn0011016,FBgn0180447,FBgn0186279,79.7595,68.352,32.5808,34.9617,34.9254,33.1717,33.5757,33.3059,44.0983,39.3474,44.095,43.0955,42.6558,45.2588,58.7014,58.2504,58.8571,54.599,58.7105,57.1023
Ssadh,FBgn0039349,FBgn0165184,FBgn0189722,39.4203,39.5332,18.8134,21.8003,22.5539,19.8993,20.037,20.0607,33.1989,33.374,34.9064,34.7605,34.228,35.1364,37.8727,38.3568,37.4168,35.6835,35.2753,36.5074
Ssb-c31a,FBgn0015299,FBgn0171767,FBgn0194892,37.3315,35.1927,15.2468,17.8932,17.1547,22.1287,21.0396,17.8324,24.2682,26.152,27.5996,25.7011,25.7613,23.0595,29.7318,26.1199,29.3328,29.2216,26.1929,23.0232
Ssdp,FBgn0011481,FBgn0170241,FBgn0191675,18.8088,19.5554,4.11218,3.87262,3.29932,3.27917,3.64176,4.1776,3.87536,4.19945,3.95492,3.47423,4.18496,3.65099,4.00845,3.82304,3.9533,4.36291,4.16154,4.49398
