gene_name,Dmel,Dsec,Dsim,Dmel_m,Dmel_f,Dsec_m1,Dsec_m2,Dsec_m3,Dsec_f1,Dsec_f2,Dsec_f3,Dsec_m4,Dsec_m5,Dsec_m6,Dsec_f4,Dsec_f5,Dsec_f6,Dsim_m1,Dsim_m2,Dsim_m3,Dsim_f1,Dsim_f2,Dsim_f3
128up,FBgn0010339,FBgn0176208,FBgn0182597,17.943,16.6354,14.9258,14.7532,15.0685,15.0939,14.6726,15.6773,21.3159,22.4084,20.5589,24.0729,23.7674,23.6438,18.4678,17.4375,16.8465,16.0354,16.4055,14.3005
14-3-3epsilon,FBgn0020238,FBgn0170212,FBgn0186839,268.193,265.011,168.898,164.403,171.302,160.786,155.917,155.029,226.149,225.576,224.255,234.12,223.577,229.271,290.394,303.448,297.16,312.65,311.467,320.515
14-3-3zeta,FBgn0004907,FBgn0176067,FBgn0184006,608.285,590.203,338.166,344.711,338.386,312.564,303.459,307.869,425.7,433.978,430.122,434.083,451.335,447.06,458.983,463.003,450.914,447.379,458.938,467.509
140up,FBgn0010340,FBgn0180739,FBgn0191925,18.3922,18.157,15.0106,17.3518,15.8593,17.9896,18.8519,16.2476,21.8005,19.8053,22.3982,19.568,21.586,18.673,12.431,11.8321,13.9159,10.6529,12.7137,12.274
18w,FBgn0004364,FBgn0176867,FBgn0067532,11.6521,9.26887,5.37747,5.56814,5.22179,4.58517,4.80095,4.79503,6.78541,6.77361,6.97893,7.23974,7.57955,7.50303,9.59461,8.78817,10.3805,10.1188,9.32535,10.0377
26-29-p,FBgn0250848,FBgn0180299,FBgn0186151,73.3859,74.9411,52.4323,55.3742,52.5119,53.7885,59.4156,53.7261,73.118,75.4044,76.8472,88.9917,86.3835,86.0287,100.663,101.398,108.453,115.955,115.174,114.217
312,FBgn0029514,FBgn0169330,FBgn0185324,11.0786,11.9913,7.66329,8.43098,9.45093,9.97871,9.55572,8.84884,11.8325,10.294,12.3424,8.84808,10.0405,9.67935,8.75324,7.56957,8.94737,8.02981,6.5811,8.35171
4EHP,FBgn0053100,FBgn0178382,FBgn0189856,23.2863,23.0452,3.80562,3.61769,3.54254,3.6103,4.44645,4.25137,4.69786,4.32454,4.658,4.71604,4.22996,4.86241,6.1138,3.93694,6.2272,4.78934,3.90828,4.59566
5-HT7,FBgn0004573,FBgn0167057,FBgn0188297,1.61994,1.72021,0.783465,1.04289,0.721115,0.672567,0.519592,0.820926,1.2385,1.33336,1.27611,1.27472,0.805138,1.57986,1.0702,1.37946,0.980989,1.19665,1.39099,1.06312
7B2,FBgn0041707,FBgn0165752,FBgn0191274,148.754,151.514,119.073,121.802,120.869,115.034,114.515,110.29,168.252,171.348,168.453,170.872,170.7,172.804,226.885,226.443,231.968,243.799,252.928,248.784
A16,FBgn0028965,FBgn0180777,FBgn0193504,14.7878,14.3857,10.5054,10.099,10.148,10.0646,9.77132,10.5397,13.5616,13.9284,14.9202,12.6984,13.4975,13.6156,16.5386,24.1072,17.2878,21.1774,28.893,23.0233
ACC,FBgn0033246,FBgn0175616,FBgn0181977,28.8838,27.6221,22.0755,21.9811,21.7248,19.5001,19.3013,19.6385,29.1909,29.5857,29.7861,29.6197,31.2833,30.0845,21.2964,21.5065,21.285,22.8434,23.3371,23.7136
AGO1,FBgn0262739,FBgn0178121,FBgn0084546,32.5826,32.6567,3.43198,3.50256,4.42248,3.26006,3.41311,3.0186,2.11135,2.5823,2.06274,2.20821,2.00327,1.99829,0.499646,0.628838,0.370195,0.318351,0.54319,0.681463
AIF,FBgn0031392,FBgn0178594,FBgn0194524,13.7098,13.5231,8.67075,7.60817,8.17585,7.59608,8.3729,8.48748,10.9731,10.7688,12.1467,10.7607,9.66802,9.50913,13.3547,12.9253,12.6731,8.31439,7.80144,7.5129
AP-1gamma,FBgn0030089,FBgn0168650,FBgn0188509,34.7382,35.682,14.2786,14.2682,14.2549,11.9679,12.8576,12.7722,15.5369,16.0339,14.8232,16.0881,16.0428,17.296,14.7588,16.6118,14.541,16.7566,17.1117,17.4542
AP-1sigma,FBgn0039132,FBgn0181394,FBgn0192503,95.1491,96.9166,83.0449,85.1131,85.2563,75.0791,72.3939,77.3879,95.4442,105.795,97.3207,109.413,100.679,113.865,133.876,140.563,128.137,149.518,145.379,151.454
AP-2,FBgn0261953,FBgn0177258,FBgn0186649,2.11602,2.16438,2.82029,2.69206,2.57983,3.00328,2.89739,2.3225,4.50171,4.16771,3.83816,4.5739,4.67913,4.8084,5.60859,5.44024,5.68263,5.96869,6.60398,5.78509
AP-2sigma,FBgn0043012,FBgn0170008,FBgn0191478,101.099,97.3792,80.8959,88.795,86.8555,86.1305,82.4493,76.2391,129.444,130.421,131.34,136.113,147.427,155.438,208.287,181.687,192.989,225.2,220.393,227.743
AP-47,FBgn0024833,FBgn0181101,FBgn0192250,45.8045,44.6227,31.9067,32.9516,32.3629,31.4553,31.6349,31.3947,39.6527,38.8732,40.5239,42.1831,43.605,43.594,44.0466,47.0934,44.5364,48.8671,46.8478,47.3549
AP-50,FBgn0263351,FBgn0181288,FBgn0041673,67.448,64.29,40.3573,40.6319,37.9022,35.4457,37.9861,35.2938,55.6657,55.2942,56.9593,58.1513,60.2201,59.6658,69.5642,70.0129,71.1878,73.2223,72.7723,71.7697
APC4,FBgn0052707,FBgn0168644,FBgn0188507,3.97776,3.4038,2.4513,2.56565,2.65984,1.94027,2.42295,2.2117,2.84883,2.89626,3.15599,2.66951,2.93249,2.93152,3.33159,3.78705,2.93293,3.86365,3.12,3.19491
APP-BP1,FBgn0261112,FBgn0180109,FBgn0185968,8.38996,7.79045,5.83996,5.29148,5.17869,5.35941,5.61677,5.49399,6.45537,7.35993,6.32728,6.44312,6.86386,5.9506,8.38899,7.38243,8.42782,5.57437,5.78404,4.92811
AQP,FBgn0033807,FBgn0175183,FBgn0197190,26.8169,22.8268,37.7225,36.9877,40.5573,34.0556,35.8259,33.8979,48.3986,51.1509,48.4831,51.4446,52.2818,54.133,66.7367,64.9437,65.8209,59.8322,61.4229,66.0618
AR-2,FBgn0039595,FBgn0167225,FBgn0189566,0.41418,0.412719,0,0.0569359,0,0,0.204494,0,0.243634,0.0436789,0.125303,0.169955,0.352616,0.282967,1.10607,0.943776,1.28059,0.943173,0.336269,0.535725
ASPP,FBgn0034606,FBgn0170654,FBgn0196527,56.1121,51.6594,24.893,25.265,25.7394,18.7777,18.7697,19.7038,34.3497,35.4275,35.4369,37.7049,38.9235,38.1768,22.0524,20.9865,22.046,28.0431,27.7267,28.054
ATP7,FBgn0030343,FBgn0168045,FBgn0188624,8.29064,7.7794,4.01401,3.78801,3.61181,2.65559,2.94248,2.97194,5.30945,5.26816,5.01619,5.08532,5.10168,5.2429500000000004,7.16996,6.79225,7.56555,7.93602,6.76468,7.29128
ATPCL,FBgn0020236,FBgn0174984,FBgn0196863,87.1317,86.6921,46.5578,48.5218,47.5826,40.5231,41.6499,42.0701,52.0199,53.3167,51.7244,54.813,58.0607,56.971,57.5401,57.9866,58.5328,65.3961,67.0487,66.1123
ATPsyn-Cf6,FBgn0016119,FBgn0178437,FBgn0189915,622.48,581.137,1075.57,1072.58,1042.48,1024.64,1022.1,986.164,1489.64,1503.85,1486.7,1664.43,1620.44,1612.03,1478.89,1457.11,1464.29,1500.46,1512.47,1506.79
ATPsyn-b,FBgn0019644,FBgn0180043,FBgn0185900,710.136,665.333,517.131,535.257,522.607,504.333,495.402,491.669,817.803,823.906,826.086,847.672,850.069,854.902,1002.32,1026.9,1002.96,950.737,949.132,945.749
ATPsyn-d,FBgn0016120,FBgn0178194,FBgn0084335,524.26,495.669,664.704,679.801,675.102,645.17,646.627,653.544,907.212,926.342,913.516,921.074,950.292,928.418,957.5,951.517,928.155,934.717,943.834,946.247
ATPsyn-gamma,FBgn0020235,FBgn0167161,FBgn0189222,469.301,446.128,460.652,466.597,465.295,430.096,433.918,434.63,675.649,689.001,676.141,711.976,712.843,722.833,721.947,744.234,746.549,720.268,720.647,722.745
Aac11,FBgn0027885,FBgn0172036,FBgn0193285,74.1066,74.4531,43.34,44.9448,45.0364,37.935,40.3708,41.8935,49.7688,51.0511,52.3239,45.945,50.9011,49.1091,55.2736,55.2488,53.5573,57.0388,57.1629,54.6632
Aats-ala,FBgn0027094,FBgn0167925,FBgn0193816,12.7752,12.2396,7.68248,8.39737,7.98664,7.12486,7.36718,7.43174,9.33894,9.83717,9.18702,10.1158,9.93152,9.39336,9.67465,9.70426,8.39113,8.92818,9.81475,10.4336
Aats-ala-m,FBgn0028962,FBgn0169619,FBgn0185576,6.55787,6.49368,3.26035,3.84478,3.77575,3.50814,3,3.48572,4.62517,4.75876,4.5194,4.33384,4.70261,4.61687,10.5047,10.8377,10.2249,10.075,12.181,10.7483
Aats-arg,FBgn0027093,FBgn0177391,FBgn0196004,10.0537,9.95835,7.2881,7.93314,7.3927,6.25621,7.32156,7.17539,10.0177,10.3583,10.3661,9.28152,9.33789,8.90022,16.8264,15.5147,15.4781,15.6538,14.8509,14.2967
Aats-asp,FBgn0002069,FBgn0176310,FBgn0182688,23.7119,21.7501,12.3027,13.161,13.2118,12.1265,11.9446,12.5737,18.6692,18.4333,18.0517,19.3437,19.9962,20.4612,22.9749,23.6526,23.082,23.3414,22.838,23.4693
Aats-cys,FBgn0027091,FBgn0176546,FBgn0182921,7.2489,6.92097,3.79107,4.09634,4.48555,4.06967,4.42755,4.33092,5.40801,5.0805,5.34429,5.54995,4.76461,4.87625,4.66273,4.63381,3.97405,4.41577,4.49783,4.58146
Aats-gln,FBgn0027090,FBgn0172644,FBgn0189753,8.95517,8.94553,7.48135,7.05798,7.25441,6.78646,6.36525,7.52964,9.44396,9.62956,9.09237,9.69057,9.41036,10.7234,10.4698,11.833,11.4923,10.0597,10.3749,10.5467
Aats-glupro,FBgn0005674,FBgn0178389,FBgn0041672,8.87297,9.14227,4.25694,4.19114,3.85086,3.93926,3.89449,3.73492,4.66593,4.88213,4.90717,5.00035,4.4764,4.63322,7.08816,7.00938,6.98463,6.24239,6.93641,6.72896
Aats-gly,FBgn0027088,FBgn0180359,FBgn0186203,14.8146,14.268,8.05463,7.93149,7.98638,8.0111,7.82526,7.82439,9.64874,9.65806,10.0649,9.29169,9.59283,10.354,11.2635,11.7676,11.1566,11.4818,11.9341,11.893
Aats-his,FBgn0027087,FBgn0177771,FBgn0188955,34.6522,36.3529,16.9778,16.5824,16.8485,16.8042,16.7297,16.2815,22.9731,22.8319,23.1829,28.9106,28.8285,27.8735,37.7172,38.0317,40.2974,52.1626,51.6233,53.4502
Aats-ile,FBgn0027086,FBgn0177310,FBgn0186697,13.2368,14.1551,5.7822,5.86787,5.54564,5.46548,5.33235,5.63965,7.67575,7.868,7.32947,7.14535,7.20861,6.98375,6.64367,6.77222,7.24842,6.46604,6.47865,6.18138
Aats-leu,FBgn0027085,FBgn0169602,FBgn0185560,6.68245,6.63934,2.74409,2.84113,3.12934,3.08901,2.98852,2.48083,3.4622,3.33637,3.68905,3.30008,3.1078,3.60076,3.80862,3.72114,3.21425,3.82932,3.14745,3.49366
Aats-lys,FBgn0027084,FBgn0166298,FBgn0187693,20.2845,17.3551,11.0665,13.6964,12.6029,11.0307,11.4574,11.0157,17.326,18.1961,17.1488,16.9365,17.2993,16.9108,26.7476,25.4468,27.3057,22.2171,22.392,22.1576
Aats-met,FBgn0027083,FBgn0180721,FBgn0191908,3.14119,2.95016,0.786885,0.748441,0.670824,0.748445,0.811142,0.898208,1.35922,1.1023,1.03582,0.99605,1.15879,0.897646,1.33815,0.836657,1.10126,1.10143,0.982212,1.10262
Aats-phe,FBgn0020766,FBgn0176381,FBgn0182756,23.7865,24.0603,20.9499,22.1994,24.0128,20.8341,22.3215,22.3902,25.1683,25.9719,24.87,26.3333,27.0342,27.1706,32.2116,32.5775,30.5619,34.1215,36.3029,38.2492
Aats-pro,FBgn0027082,FBgn0169041,FBgn0185094,4.77732,4.87807,4.6169,5.40598,4.20031,4.35975,4.21494,4.47073,5.74665,5.66979,5.59201,6.07939,6.11146,5.80017,3.53847,3.87584,4.00437,4.56235,4.33299,5.00376
Aats-ser,FBgn0021750,FBgn0179087,FBgn0190522,6.94327,6.98329,2.864,2.93679,2.6862,2.67735,2.1291,2.97279,3.52034,3.76316,3.25351,3.48771,2.78269,3.48582,4.2175,4.58892,4.79454,4.20371,4.52728,4.20002
Aats-thr,FBgn0027081,FBgn0181585,FBgn0195188,36.3955,34.2728,23.1792,22.7433,21.5929,20.0657,19.1668,19.5017,25.846,27.149,27.4318,25.4741,26.0674,26.2161,33.4262,32.6144,31.6772,31.9501,32.1617,32.2911
Aats-trp,FBgn0010803,FBgn0181129,FBgn0192272,16.2879,15.9384,8.02075,8.79206,8.58708,7.77959,7.42025,8.51829,9.67783,9.95307,9.9027,9.86134,9.58967,10.8675,10.5455,11.6124,10.5357,9.84946,12.2053,10.6048
Aats-tyr,FBgn0027080,FBgn0179263,FBgn0184198,27.1204,26.6596,15.7538,14.823,14.8109,14.4,13.4968,14.4875,20.3048,20.895,21.0062,19.6024,21.1331,21.7098,24.1259,25.5782,24.9637,25.925,26.6047,26.6715
Abd-B,FBgn0000015,FBgn0025061,FBgn0025043,0.00406846,0.00852653,0,0,0,0,0,0,0,0.0220541,0,0,0.0295215,0.0568729,0.175839,0.187259,0.0358265,0,0,0
Abi,FBgn0020510,FBgn0180740,FBgn0191926,28.0078,26.0079,70.4034,72.8538,74.3508,64.6908,63.5377,63.6558,89.0998,91.5074,89.3077,92.1431,96.5553,92.813,36.8218,37.9537,38.0116,42.89,44.0744,43.1133
Abl,FBgn0000017,FBgn0179243,FBgn0184183,15.014,14.9271,4.04065,4.33545,3.99331,3.13628,3.53718,3.48653,5.24161,5.35771,5.11107,4.95073,5.49608,5.1431,7.35267,7.23073,6.78827,7.57879,7.09205,8.02153
Ac3,FBgn0023416,FBgn0171056,FBgn0195675,10.6551,10.8592,6.24037,6.42122,6.63698,5.34345,5.60963,4.9912,8.7873,8.41176,8.30423,7.41188,8.06046,8.44298,0.541524,0.669322,0.722774,0.474209,0.467357,0.445526
Ac78C,FBgn0024150,FBgn0177036,FBgn0183879,0.92319,0.962546,0.284744,0.229154,0.182937,0.131688,0.156282,0.221045,0.465032,0.459124,0.484754,0.470066,0.448321,0.485098,0.912067,0.841247,0.868699,0.74270099999999994,0.8487,0.7886
AcCoAS,FBgn0012034,FBgn0177025,FBgn0183867,249.975,239.291,134.661,133.527,134.451,120.07,118.306,118.296,157.319,160.484,153.771,156.938,154.223,155.782,162.208,162.817,158.636,170.407,169.19,170.317
Acam,FBgn0011273,FBgn0165216,FBgn0192685,0,0.0180469,0.130641,0,0,0.115215,0,0,2.6508,3.05105,3.20459,0.420743,0.581626,0.280523,21.2741,23.2552,21.034300000000002,0.125065,0.267787,0.127717
Ace,FBgn0000024,FBgn0180812,FBgn0022516,34.7625,36.176,8.48762,8.2352900000000009,7.69205,7.4031,7.15081,7.364,6.29401,6.97388,6.78784,7.17037,6.6047,7.38378,4.80204,4.2296,4.69377,5.05891,5.27112,4.56369
Acer,FBgn0016122,FBgn0171967,FBgn0194932,3.49814,3.93869,1.20849,1.14727,1.12745,0.917171,1.18283,1.10498,4.24294,4.50106,4.69014,4.89291,4.95255,4.55978,9.7011,9.18719,9.35298,5.46428,6.16938,5.12471
Acf1,FBgn0027620,FBgn0171368,FBgn0193029,5.7993,5.60988,3.29642,2.94467,3.12736,3.0333,2.81753,2.86634,3.83261,3.86706,3.70361,3.45627,3.52415,3.5836,0.177811,0.0816597,0.312754,0.239165,0.276291,0.207221
Ack,FBgn0028484,FBgn0169546,FBgn0185513,15.2702,14.1708,8.35296,9.37191,8.65268,7.01816,6.8798,7.03864,11.8298,11.8787,12.0893,12.7516,12.3006,11.4987,11.4131,12.3566,12.8849,12.0941,12.1066,12.4972
Acon,FBgn0010100,FBgn0178264,FBgn0195654,349.661,337.924,153.383,154.624,154.365,142.043,144.254,143.856,207.995,212.171,212.91,211.415,210.537,211.755,252.955,255.834,256.445,219.284,216.249,216.748
Acp1,FBgn0014454,FBgn0168315,FBgn0193875,712.808,857.398,368.242,399.866,390.511,418.695,414.853,414.234,272.225,283.396,264.293,283.648,295.843,283.167,718.182,748.682,711.064,1355.44,1417.02,1411.61
Acp24A4,FBgn0051779,FBgn0173036,FBgn0083474,0.0267818,0.0255616,0,0,0,0.246108,0,0.255107,0.383647,0.414051,0.39547,0.304573,0.316804,0.305618,1.00002,1.06858,1.02073,0,0.9518,0
Acp26Aa,FBgn0002855,FBgn0260790,FBgn0012820,0.0249267,0,0,0,0,0,0,0,0,0.0502788,0.192093,0,0,0,0.868849,1.02889,1.42893,0,0,0
Acp26Ab,FBgn0002856,FBgn0260791,FBgn0012821,0,0,0,0,0,0,0,0,2.07423,0.3719,0.710979,0,0,0,6.99664,6.78781,3.24623,0,0,0
Acp29AB,FBgn0015583,FBgn0064379,FBgn0027418,0,0,0,0,0,0,0,0,0.251499,0.0543787,0.155928,0,0,0,0.635781,1.4629,1.30259,0,0,0.0683873
Acp32CD,FBgn0023415,FBgn0173712,FBgn0043403,0.0271908,0.0122624,0.0610986,0,0.0628421,0,0,0.112295,2.28469,2.55237,2.67132,0.123964,0,0,9.20311,12.219,9.73269,0.238874,0,0.182948
Acp36DE,FBgn0011559,FBgn0064378,FBgn0041931,0.0224008,0.0181649,0.0486936,0.0350671,0.11754,0.099628,0.0310348,0.0593708,0.300763,0.326021,0.311507,0.0502631,0,0.0168276,3.47562,3.42962,2.91787,0.0134822,0,0.0138518
Acp53C14a,FBgn0034152,FBgn0174920,FBgn0069522,0.0439033,0.0389033,0,0,0,0,0.202466,0,3.53124,2.98086,2.84823,0.235741,0,0,33.3669,34.1996,26.6342,0,0,0.226907
Acp53C14b,FBgn0034153,FBgn0174919,FBgn0069521,0.801287,0.491126,0.179228,0.192551,0,0,0,0.163411,2.06638,2.50608,2.26125,0,0,0,43.4678,46.925,41.389,0.189391,0.405449,0.387247
Acp53C14c,FBgn0053530,FBgn0174918,FBgn0069520,0.34854,0.347959,0,0,0.200922,0,0.18727,0,0.587957,1.27116,0.759642,0,0,0.444584,13.8543,12.6762,11.5242,0.223122,0.478427,0.685223
Acp53Ea,FBgn0015584,FBgn0064377,FBgn0043401,0.487835,0.316282,0,0,0,0.20075,0.218838,0,3.693,2.90275,4.33593,0.258413,0.538287,0,46.9804,42.8266,41.2729,0.500958,0.80579,1.02548
Acp62F,FBgn0020509,FBgn0069552,FBgn0043400,0.188615,0.136149,0,0.240493,0,0,0.426087,0,3.02378,2.40048,2.78929,0.245023,0,0.24526,14.8805,15.8874,10.8574,0,0,0
Acp63F,FBgn0015585,FBgn0168965,FBgn0043399,0.0595669,0.106192,1.19959,0,1.23677,1.0392,1.12796,0,4.16851,6.73541,7.30151,4.19512,0.727367,3.50806,1.54153,2.47137,0.786346,0,0,0
Acp65Aa,FBgn0020765,FBgn0168792,FBgn0184866,0.810206,1.49362,6.58341,6.34953,6.09278,7.23613,7.20315,5.69299,12.371,9.83837,11.3119,17.129,16.2447,21.5081,14.9519,12.3709,15.6672,19.9068,17.7383,20.6374
Acp70A,FBgn0003034,FBgn0012779,FBgn0021129,0,0,0,3.87573,0,0,0,0,0,7.53446,12.0476,0,0,0,156.409,128.41,110.064,0,0,0
Acp76A,FBgn0015586,FBgn0168076,FBgn0043398,0,0,0,0,0,0,0.0466632,0,0.0678606,0,0.175371,0,0,0,1.45661,0.696068,1.27329,0.0406144,0,0
Acp95EF,FBgn0002863,FBgn0181428,FBgn0250854,3.68157,3.7204,15.138,4.03047,7.76517,6.13731,6.61423,9.53049,31.9206,36.7302,45.3076,4.29995,17.765,4.29512,1085.16,833.168,997.171,131.212,69.0699,49.9309
Acph-1,FBgn0000032,FBgn0167136,FBgn0189058,9.77263,9.84103,4.57696,5.17157,5.28853,5.04271,4.68208,5.1733,7.52287,6.67989,7.18365,6.93592,6.51675,6.38177,9.63315,9.37598,9.80721,8.88102,9.54186,9.21942
Acsl,FBgn0263120,FBgn0175936,FBgn0182359,174.207,167.249,81.1824,79.3594,77.8473,65.5739,63.1378,63.9637,88.6903,92.4249,91.0927,94.5198,93.2013,92.9846,103.668,105.453,103.751,111.174,110.962,110.197
Act42A,FBgn0000043,FBgn0171407,FBgn0182114,34.7533,34.4312,29.9193,33.7096,33.9216,31.9121,32.8171,32.1045,65.2406,63.2428,63.8669,60.1656,64.7308,64.144,133.082,128.641,133.672,132.339,133.611,131.955
Act5C,FBgn0000042,FBgn0167384,FBgn0188352,454.925,416.874,432.101,437.853,436.706,390.622,402.434,408.278,637.35,641.527,643.09,696.992,718.083,700.442,860.41,837.022,852.331,928.115,932.198,933.227
Actbeta,FBgn0024913,FBgn0167941,FBgn0189392,24.3755,24.5812,11.77,11.2545,11.0506,10.4672,10.6909,10.1429,15.0498,14.7314,14.4445,14.4731,13.8773,14.6149,8.40743,8.20393,8.37845,7.78071,8.7219,8.6144
Actn3,FBgn0015008,FBgn0170318,FBgn0191741,0,0.0336849,0,0,0.0243885,0.0413067,0.0225622,0.0215562,0.351548,0.400678,0.437283,0.0730287,0.0761064,0.024446,3.68946,4.33139,3.82793,0.024318,0,0
Acyp,FBgn0025115,FBgn0170293,FBgn0069519,0,0,0.209629,0.224687,0,0,0,0.192719,0.60774,1.30673,1.71932,0,0.244615,0.235886,12.8085,8.12621,11.1228,0,0,0.64394
Ada,FBgn0037661,FBgn0178649,FBgn0190117,3.66571,3.3431,2.26169,2.34317,1.6272200000000001,1.59708,1.48793,1.58044,2.18901,2.29863,1.87824,2.13472,2.53703,1.7478,0.600585,0.51568,0.615424,0.262839,0.28172,0.223992
Ada2b,FBgn0037555,FBgn0181217,FBgn0192346,11.4244,10.3969,7.11382,7.51724,7.05023,5.95026,5.5578,6.11629,8.99686,8.19648,9.22544,8.16628,8.26999,8.20409,6.21269,6.40395,7.29916,6.89769,7.46851,7.10033
Adam,FBgn0027619,FBgn0166065,FBgn0182469,63.7861,61.8728,37.9345,39.8379,39.8109,37.9854,37.7575,38.3177,60.4465,56.9388,56.3657,56.4311,62.8935,62.8454,74.6883,74.7445,71.418,81.1766,78.4408,78.6759
Adf1,FBgn0000054,FBgn0175766,FBgn0182186,22.3787,23.1522,17.2213,21.6216,21.2787,18.8261,19.9481,20.1207,27.4578,30.1352,32.0412,32.1893,32.5931,33.6328,34.0103,32.2366,33.3185,33.8248,35.7745,34.5277
Adgf-A,FBgn0036752,FBgn0179175,FBgn0184113,0.355563,0.309921,0.159997,0.114613,0.301802,0.16599,0.102984,0.22163,0.466834,0.356892,0.341191,0.400028,0.388069,0.347591,1.24596,1.44902,1.27544,0.23111,0.329915,0.262441
Adgf-B,FBgn0036751,FBgn0179176,FBgn0184114,0.0339344,0.0125989,0.0842443,0.0905545,0.057828,0.0250392,0.081558,0.0519982,0.853551,1.07506,0.817645,0.11209,0.0582945,0.0280998,5.61076,5.53991,6.11138,0.0259279,0.0555254,0.0795379
Adgf-C,FBgn0038173,FBgn0178989,FBgn0190435,1.16544,1.15948,3.97459,3.81516,4.08511,3.35727,2.88812,3.7605,4.80298,4.2326,4.3696,5.14313,4.69799,4.68327,1.65158,1.50762,1.72924,1.75429,2.1236,1.64649
Adgf-D,FBgn0038172,FBgn0180768,FBgn0191950,3.40334,3.34397,8.34083,7.83755,7.42582,7.79274,8.61924,8.38857,21.5077,21.6146,22.5643,30.5242,33.014,30.1956,46.7041,45.3603,47.6653,54.3092,52.5621,52.6062
Adgf-E,FBgn0033952,FBgn0175079,FBgn0196952,0.0127834,0,0,0,0,0.0229597,0,0.0237934,0.408818,0.481939,0.441335,0.0267048,0,0.0266984,4.22035,4.20428,3.98703,0.0250582,0.0535273,0.051189900000000003
Adh,FBgn0000055,FBgn0012780,FBgn0012824,445.365,411.907,629.945,644.412,627.928,641.341,642.669,649.084,851.788,845.434,841.177,982.794,986.572,987.41,1516.03,1504.78,1509.9,1505.37,1483.02,1463.17
Adhr,FBgn0000056,FBgn0012781,FBgn0012825,NA,NA,0.31473,0.474584,0.454428,0.280689,0.427047,0.525067,0.49667,0.927359,0.83925,0.384213,0.599994,0.514552,4.84067,5.72367,5.3021,4.20973,3.98868,4.7598
Adk1,FBgn0022709,FBgn0179535,FBgn0184468,763.643,664.913,511.902,516.986,519.796,453.594,457.175,449.095,607.56,616.047,626.868,614.194,611.595,614.768,588.713,604.149,595.457,678.088,685.241,667.179
Adk2,FBgn0022708,FBgn0173196,FBgn0183564,106.05,100.275,1.26926,0.915332,1.14725,0.993034,1.29662,1.18734,1.68528,1.7243,1.54465,1.54403,1.54418,1.59895,117.74,114.464,118.403,125.799,131.592,129.091
Adk3,FBgn0042094,FBgn0180991,FBgn0192156,46.1803,42.7567,66.8949,65.6508,67.0962,65.5453,63.7598,63.0673,98.0191,96.7292,97.1279,103.889,101.644,105.096,24.6971,24.0588,25.4641,23.9218,24.4177,24.1121
AdoR,FBgn0039747,FBgn0167118,FBgn0188872,1.24887,1.22513,1.62051,1.6975,1.39308,1.28514,1.40834,1.48624,2.29842,2.18585,1.81497,2.84068,2.44667,2.45559,1.02909,0.816704,0.969948,0.929186,1.09241,0.854968
Ady43A,FBgn0026602,FBgn0175691,FBgn0182041,51.0224,48.6479,46.1736,48.5426,49.3964,42.9126,47.191,47.9143,59.7042,54.5012,58.2744,66.6386,66.7797,65.5764,29.4609,29.4289,30.0324,38.5634,39.489,39.9357
Aef1,FBgn0005694,FBgn0177237,FBgn0186631,17.1798,17.3048,7.48163,6.09979,7.68514,6.45826,5.61046,6.38598,7.7395,8.01097,8.27306,7.94014,10.3695,8.39841,6.30975,6.02296,6.50156,6.65986,7.06886,6.98436
Afti,FBgn0038223,FBgn0180715,FBgn0191900,8.60363,8.2057,2.13517,2.09238,1.96937,1.60382,1.8897,1.69576,2.36849,2.1273,2.33312,2.22826,2.03318,2.30207,3.60556,3.43395,3.93718,3.20869,3.91606,3.77635
Ag5r2,FBgn0020508,FBgn0166981,FBgn0195081,0.0303883,0,0,0.0702702,0,0,0,0,0,0.0512305,0.0490992,0.0681599,0.0705944,0.13611,2.62163,2.13459,2.98995,0.347921,0,0.118399
Ahcy13,FBgn0014455,FBgn0174464,FBgn0188773,16.3353,12.2461,4.93945,4.35422,4.42253,1.96917,2.19278,1.54996,7.17683,6.86306,7.56601,4.66071,4.97783,4.19818,14.942,14.7846,14.893,8.66411,9.41813,9.65917
Ahcy89E,FBgn0015011,FBgn0170317,FBgn0191740,19.4381,19.34,57.4545,58.2394,58.0745,54.6617,56.7878,56.2531,70.1374,69.7631,69.8315,76.0583,76.2286,76.1158,42.571,41.5552,43.0667,46.5763,45.1218,45.0773
Ak6,FBgn0033754,FBgn0175234,FBgn0197110,8.15136,7.67586,4.88632,3.85935,4.02845,5.30596,5.86835,4.80905,5.88244,4.40147,5.18177,3.65149,3.91237,4.11499,7.9857,10.2334,8.76397,9.03753,7.18639,7.18181
Akap200,FBgn0027932,FBgn0171853,FBgn0194919,22.4985,26.5519,5.95199,6.7901300000000004,6.46452,6.1452,6.16688,6.75431,10.734,11.5466,10.8187,13.0692,13.8675,13.8743,14.7795,15.6249,14.6971,12.5362,12.1263,12.2787
Akh,FBgn0004552,FBgn0169548,FBgn0185514,0.707444,0.987196,3.75059,2.41023,1.53987,2.61064,1.40485,1.34884,2.07922,4.45863,2.13641,2.61778,5.42093,7.84994,16.1972,15.2008,14.5368,19.5028,12.106,19.0641
Akt1,FBgn0010379,FBgn0179148,FBgn0190581,15.0891,14.4674,9.0495,8.93103,8.9845,7.4556,7.38051,7.68688,10.2778,11.0561,10.3995,9.68659,9.57445,11.3038,9.59843,9.1883,9.01095,10.4935,9.49417,9.81929
